dataset,encoder,c_fh,policy,threshold,fhr,coverage,expected_cost
mrpc,all-MiniLM-L6-v2,5.0,fixed@0.8,0.8,0.1573,0.5544,0.8816
mrpc,all-MiniLM-L6-v2,5.0,fhr<= 0.05,0.99,0.0,0.0064,0.9936
mrpc,all-MiniLM-L6-v2,5.0,cost-aware(c_fh=5),0.92,0.0797,0.2208,0.8672
mrpc,all-MiniLM-L6-v2,20.0,fixed@0.8,0.8,0.1573,0.5544,2.1896
mrpc,all-MiniLM-L6-v2,20.0,fhr<= 0.05,0.99,0.0,0.0064,0.9936
mrpc,all-MiniLM-L6-v2,20.0,cost-aware(c_fh=20),0.99,0.0,0.0064,0.9936
mrpc,all-mpnet-base-v2,5.0,fixed@0.8,0.8,0.1421,0.5968,0.8272
mrpc,all-mpnet-base-v2,5.0,fhr<= 0.05,0.995,0.0,0.0024,0.9976
mrpc,all-mpnet-base-v2,5.0,cost-aware(c_fh=5),0.91,0.0831,0.2792,0.8368
mrpc,all-mpnet-base-v2,20.0,fixed@0.8,0.8,0.1421,0.5968,2.0992
mrpc,all-mpnet-base-v2,20.0,fhr<= 0.05,0.995,0.0,0.0024,0.9976
mrpc,all-mpnet-base-v2,20.0,cost-aware(c_fh=20),0.995,0.0,0.0024,0.9976
mrpc,bge-base-en-v1.5,5.0,fixed@0.8,0.8,0.1962,0.7664,0.9856
mrpc,bge-base-en-v1.5,5.0,fhr<= 0.05,0.965,0.0101,0.0792,0.9248
mrpc,bge-base-en-v1.5,5.0,cost-aware(c_fh=5),0.895,0.0905,0.3888,0.7872
mrpc,bge-base-en-v1.5,20.0,fixed@0.8,0.8,0.1962,0.7664,3.2416
mrpc,bge-base-en-v1.5,20.0,fhr<= 0.05,0.965,0.0101,0.0792,0.9368
mrpc,bge-base-en-v1.5,20.0,cost-aware(c_fh=20),0.97,0.0,0.0616,0.9384
mrpc,bge-large-en-v1.5,5.0,fixed@0.8,0.8,0.183,0.7256,0.9384
mrpc,bge-large-en-v1.5,5.0,fhr<= 0.05,0.96,0.0083,0.096,0.908
mrpc,bge-large-en-v1.5,5.0,cost-aware(c_fh=5),0.915,0.0632,0.304,0.792
mrpc,bge-large-en-v1.5,20.0,fixed@0.8,0.8,0.183,0.7256,2.9304
mrpc,bge-large-en-v1.5,20.0,fhr<= 0.05,0.96,0.0083,0.096,0.92
mrpc,bge-large-en-v1.5,20.0,cost-aware(c_fh=20),0.97,0.0,0.0576,0.9424
mrpc,e5-large-v2,5.0,fixed@0.8,0.8,0.3109,0.9984,1.5536
mrpc,e5-large-v2,5.0,fhr<= 0.05,0.98,0.0181,0.1328,0.8792
mrpc,e5-large-v2,5.0,cost-aware(c_fh=5),0.955,0.0766,0.3968,0.7552
mrpc,e5-large-v2,20.0,fixed@0.8,0.8,0.3109,0.9984,6.2096
mrpc,e5-large-v2,20.0,fhr<= 0.05,0.98,0.0181,0.1328,0.9152
mrpc,e5-large-v2,20.0,cost-aware(c_fh=20),0.985,0.0091,0.088,0.928
mrpc,e5-small-v2,5.0,fixed@0.8,0.8,0.312,1.0,1.56
mrpc,e5-small-v2,5.0,fhr<= 0.05,0.985,0.0091,0.088,0.916
mrpc,e5-small-v2,5.0,cost-aware(c_fh=5),0.96,0.0743,0.3552,0.7768
mrpc,e5-small-v2,20.0,fixed@0.8,0.8,0.312,1.0,6.24
