encoder,calibrated_on,applied_to,threshold,transfer_cost,in_domain_cost,cost_gap
all-MiniLM-L6-v2,mrpc,mrpc,0.99,0.9936,0.9936,0.0
all-MiniLM-L6-v2,mrpc,paws,0.99,3.1272,1.0,2.1272
all-MiniLM-L6-v2,mrpc,qqp,0.99,1.0184,1.0248,-0.0064
all-MiniLM-L6-v2,paws,mrpc,1.0,1.0,0.9936,0.0064
all-MiniLM-L6-v2,paws,paws,1.0,1.0,1.0,0.0
all-MiniLM-L6-v2,paws,qqp,1.0,0.9992,1.0248,-0.0256
all-MiniLM-L6-v2,qqp,mrpc,0.995,0.9976,0.9936,0.004
all-MiniLM-L6-v2,qqp,paws,0.995,1.8128,1.0,0.8128
all-MiniLM-L6-v2,qqp,qqp,0.995,1.0248,1.0248,0.0
all-mpnet-base-v2,mrpc,mrpc,0.995,0.9976,0.9976,0.0
all-mpnet-base-v2,mrpc,paws,0.995,1.5632,0.9992,0.564
all-mpnet-base-v2,mrpc,qqp,0.995,0.9952,0.9992,-0.004
all-mpnet-base-v2,paws,mrpc,1.0,1.0,0.9976,0.0024
all-mpnet-base-v2,paws,paws,1.0,0.9992,0.9992,0.0
all-mpnet-base-v2,paws,qqp,1.0,0.9992,0.9992,0.0
all-mpnet-base-v2,qqp,mrpc,1.0,1.0,0.9976,0.0024
all-mpnet-base-v2,qqp,paws,1.0,0.9992,0.9992,0.0
all-mpnet-base-v2,qqp,qqp,1.0,0.9992,0.9992,0.0
bge-base-en-v1.5,mrpc,mrpc,0.97,0.9384,0.9384,0.0
bge-base-en-v1.5,mrpc,paws,0.97,7.4888,0.9992,6.4896
bge-base-en-v1.5,mrpc,qqp,0.97,1.0936,1.0032,0.0904
bge-base-en-v1.5,paws,mrpc,1.0,1.0,0.9384,0.0616
bge-base-en-v1.5,paws,paws,1.0,0.9992,0.9992,0.0
bge-base-en-v1.5,paws,qqp,1.0,0.9992,1.0032,-0.004
bge-base-en-v1.5,qqp,mrpc,0.99,0.9944,0.9384,0.056
bge-base-en-v1.5,qqp,paws,0.99,3.288,0.9992,2.2888
bge-base-en-v1.5,qqp,qqp,0.99,1.0032,1.0032,0.0
bge-large-en-v1.5,mrpc,mrpc,0.97,0.9424,0.9424,0.0
bge-large-en-v1.5,mrpc,paws,0.97,7.1016,0.9992,6.1024
bge-large-en-v1.5,mrpc,qqp,0.97,1.0896,0.9832,0.1064
bge-large-en-v1.5,paws,mrpc,1.0,1.0,0.9424,0.0576
bge-large-en-v1.5,paws,paws,1.0,0.9992,0.9992,0.0
bge-large-en-v1.5,paws,qqp,1.0,0.9992,0.9832,0.016
bge-large-en-v1.5,qqp,mrpc,0.99,0.992,0.9424,0.0496
bge-large-en-v1.5,qqp,paws,0.99,2.7624,0.9992,1.7632
bge-large-en-v1.5,qqp,qqp,0.99,0.9832,0.9832,0.0
e5-large-v2,mrpc,mrpc,0.985,0.928,0.928,0.0
e5-large-v2,mrpc,paws,0.985,7.8312,0.9992,6.832
e5-large-v2,mrpc,qqp,0.985,1.1472,0.9976,0.1496
e5-large-v2,paws,mrpc,1.0,1.0,0.928,0.072
e5-large-v2,paws,paws,1.0,0.9992,0.9992,0.0
e5-large-v2,paws,qqp,1.0,0.9992,0.9976,0.0016
e5-large-v2,qqp,mrpc,0.995,0.9904,0.928,0.0624
e5-large-v2,qqp,paws,0.995,3.0608,0.9992,2.0616
e5-large-v2,qqp,qqp,0.995,0.9976,0.9976,0.0
e5-small-v2,mrpc,mrpc,0.985,0.928,0.928,0.0
e5-small-v2,mrpc,paws,0.985,8.8464,0.9992,7.8472
e5-small-v2,mrpc,qqp,0.985,1.1744,0.9992,0.1752
e5-small-v2,paws,mrpc,1.0,1.0,0.928,0.072
e5-small-v2,paws,paws,1.0,0.9992,0.9992,0.0
e5-small-v2,paws,qqp,1.0,0.9992,0.9992,0.0
e5-small-v2,qqp,mrpc,1.0,1.0,0.928,0.072
e5-small-v2,qqp,paws,1.0,0.9992,0.9992,0.0
e5-small-v2,qqp,qqp,1.0,0.9992,0.9992,0.0
tfidf-lexical,mrpc,mrpc,0.87,0.98,0.98,0.0
tfidf-lexical,mrpc,paws,0.87,1.8424,1.06,0.7824
tfidf-lexical,mrpc,qqp,0.87,1.3056,1.0296,0.276
tfidf-lexical,paws,mrpc,0.96,0.9976,0.98,0.0176
tfidf-lexical,paws,paws,0.96,1.06,1.06,0.0
tfidf-lexical,paws,qqp,0.96,1.0416,1.0296,0.012
tfidf-lexical,qqp,mrpc,1.0,0.9992,0.98,0.0192
tfidf-lexical,qqp,paws,1.0,1.0232,1.06,-0.0368
tfidf-lexical,qqp,qqp,1.0,1.0296,1.0296,0.0
