f1_correct,f1_wrong_ctx,f1_trunc,f1_wrong_ans
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
0.8571428571428572,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.5714285714285715,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.6666666666666666,0.0
0.7692307692307692,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.1111111111111111,0.0
0.0,0.0,0.0,0.0
0.5,0.1111111111111111,0.5,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.7999999999999999,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.7272727272727272,0.0,0.35294117647058826,0.0
1.0,0.0,0.5,0.0
1.0,0.0,1.0,0.0
0.5454545454545454,0.0,1.0,0.0
1.0,0.0,0.11764705882352942,0.0
0.6666666666666666,0.0,0.0,0.0
1.0,0.09523809523809525,0.0,0.0
0.0,0.0,0.0,0.11764705882352941
1.0,0.125,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.5714285714285715,0.0,0.0,0.0
0.6666666666666666,0.06060606060606061,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.1,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.4,0.0
0.4,0.0,0.0,0.0
1.0,0.0,0.28571428571428575,0.0
1.0,0.22222222222222224,1.0,0.0
1.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.6666666666666666,0.0,0.6666666666666666,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.125,0.0,0.0,0.0
0.5555555555555556,0.0,0.10526315789473685,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
0.75,0.0,0.125,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0
0.6666666666666666,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.18181818181818182,0.0,0.0
1.0,0.5,0.6666666666666666,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.15384615384615385,0.0
0.0,0.0,0.0,0.1
0.6666666666666665,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
0.0,0.2,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
0.5,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.6666666666666666,0.0,0.6666666666666666,0.18181818181818182
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.04651162790697674,0.0,0.0
0.8571428571428571,0.0,0.8571428571428571,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.17391304347826084,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.4,0.0,0.5,0.0
1.0,0.0,0.8571428571428571,0.0
0.6666666666666665,0.0,0.6666666666666665,0.25
1.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.16666666666666666,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
0.6666666666666665,0.0,0.0,0.0
1.0,0.0,0.6666666666666666,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.6666666666666666,0.0,0.0,0.0
1.0,0.0,0.2,0.0
1.0,0.0,0.0,0.16666666666666666
0.33333333333333337,0.0,0.33333333333333337,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.08333333333333334,0.0,0.0
0.9523809523809523,0.07692307692307693,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.7499999999999999,0.0,0.3333333333333333,0.0
1.0,0.0,0.0,0.0
0.5000000000000001,0.0,0.7272727272727272,0.0
1.0,0.0,1.0,0.0
0.6666666666666665,0.22222222222222224,0.0,0.0
1.0,0.0,1.0,0.0
0.07692307692307693,0.0,0.6666666666666666,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
