dataset,encoder,n_pairs,base_rate,pr_auc,pr_auc_lo,pr_auc_hi,roc_auc,roc_auc_lo,roc_auc_hi,prec@rec0.70,prec@rec0.80,prec@rec0.90,cov@fhr0.01,cov@fhr0.05
qqp,all-MiniLM-L6-v2,2500,0.3624,0.7565,0.7242,0.7837,0.8679,0.8538,0.8803,0.6932,0.6609,0.6076,0.0056,0.0056
paws,all-MiniLM-L6-v2,2500,0.436,0.5885,0.5531,0.6186,0.6387,0.6167,0.6607,0.5117,0.4752,0.4523,0.0012,0.0012
mrpc,all-MiniLM-L6-v2,2500,0.6764,0.8563,0.8376,0.8733,0.7551,0.7335,0.7752,0.8156,0.7939,0.7536,0.0108,0.0736
qqp,all-mpnet-base-v2,2500,0.3624,0.7785,0.7469,0.8071,0.8875,0.8744,0.8984,0.7208,0.7025,0.6592,0.0032,0.0032
paws,all-mpnet-base-v2,2500,0.436,0.6035,0.5703,0.6345,0.6558,0.6336,0.6767,0.5244,0.4891,0.4683,0.0052,0.0088
mrpc,all-mpnet-base-v2,2500,0.6764,0.8686,0.8506,0.8854,0.7821,0.7617,0.8003,0.8393,0.8126,0.7785,0.0048,0.076
qqp,e5-small-v2,2500,0.3624,0.7367,0.7028,0.766,0.8567,0.8433,0.8707,0.6663,0.6427,0.6027,0.0008,0.0088
paws,e5-small-v2,2500,0.436,0.5396,0.5038,0.5694,0.5919,0.5699,0.6151,0.4703,0.4609,0.4535,0.0012,0.0012
mrpc,e5-small-v2,2500,0.6764,0.8929,0.8765,0.9064,0.808,0.7895,0.825,0.8612,0.8157,0.7821,0.0808,0.2172
qqp,e5-large-v2,2500,0.3624,0.7607,0.731,0.789,0.8675,0.8538,0.8807,0.6888,0.652,0.6163,0.0064,0.024
paws,e5-large-v2,2500,0.436,0.6155,0.58,0.6455,0.6657,0.6427,0.6861,0.5258,0.5026,0.4639,0.002,0.002
mrpc,e5-large-v2,2500,0.6764,0.8978,0.8816,0.9106,0.817,0.7999,0.8341,0.8624,0.8314,0.7871,0.0912,0.244
qqp,bge-base-en-v1.5,2500,0.3624,0.7555,0.723,0.7835,0.8665,0.8526,0.8791,0.697,0.6564,0.6076,0.0056,0.0188
paws,bge-base-en-v1.5,2500,0.436,0.5803,0.5453,0.6104,0.6276,0.6054,0.6488,0.498,0.4767,0.4546,0.0012,0.0012
mrpc,bge-base-en-v1.5,2500,0.6764,0.8849,0.8664,0.9002,0.8039,0.785,0.822,0.8466,0.8293,0.7896,0.0444,0.186
